,n,data,test,rejects,time
0,30,Uniform,Rayleigh,0.005,0.07725787162780762
0,30,Uniform,N-KSD,0.008333333333333333,11.814703941345215
0,30,Uniform,KSD,0.005,10.630218267440796
0,30,VonMises,Rayleigh,0.18666666666666668,0.10175037384033203
0,30,VonMises,N-KSD,0.175,12.155987977981567
0,30,VonMises,KSD,0.135,10.737540245056152
0,50,Uniform,Rayleigh,0.008333333333333333,0.0714411735534668
0,50,Uniform,N-KSD,0.013333333333333334,13.436318397521973
0,50,Uniform,KSD,0.01,15.3145010471344
0,50,VonMises,Rayleigh,0.3016666666666667,0.1110687255859375
0,50,VonMises,N-KSD,0.35,13.31176495552063
0,50,VonMises,KSD,0.355,15.457113027572632
0,100,Uniform,Rayleigh,0.015,0.07284975051879883
0,100,Uniform,N-KSD,0.01,17.405429124832153
0,100,Uniform,KSD,0.008333333333333333,36.68653202056885
0,100,VonMises,Rayleigh,0.705,0.12232351303100586
0,100,VonMises,N-KSD,0.735,17.70592713356018
0,100,VonMises,KSD,0.7,37.80113339424133
0,200,Uniform,Rayleigh,0.006666666666666667,0.0825812816619873
0,200,Uniform,N-KSD,0.0033333333333333335,34.494821310043335
0,200,Uniform,KSD,0.005,137.34993386268616
0,200,VonMises,Rayleigh,0.985,0.13468360900878906
0,200,VonMises,N-KSD,0.975,35.527679681777954
0,200,VonMises,KSD,0.98,134.4409511089325
