,n,data,test,rejects,time
0,30,Uniform,Rayleigh,0.005,0.08883023262023926
0,30,Uniform,N-KSD,0.008333333333333333,12.578646183013916
0,30,Uniform,KSD,0.015,11.136093378067017
0,30,VonMises,Rayleigh,0.15833333333333333,0.10609221458435059
0,30,VonMises,N-KSD,0.17,12.454768896102905
0,30,VonMises,KSD,0.16333333333333333,11.27190113067627
0,50,Uniform,Rayleigh,0.01,0.0906209945678711
0,50,Uniform,N-KSD,0.013333333333333334,14.50881814956665
0,50,Uniform,KSD,0.008333333333333333,17.629005193710327
0,50,VonMises,Rayleigh,0.32666666666666666,0.10823345184326172
0,50,VonMises,N-KSD,0.32166666666666666,13.427130937576294
0,50,VonMises,KSD,0.355,16.115453243255615
0,100,Uniform,Rayleigh,0.016666666666666666,0.07134366035461426
0,100,Uniform,N-KSD,0.01,17.725911378860474
0,100,Uniform,KSD,0.011666666666666667,39.62819576263428
0,100,VonMises,Rayleigh,0.7433333333333333,0.11026644706726074
0,100,VonMises,N-KSD,0.705,20.773380994796753
0,100,VonMises,KSD,0.7233333333333334,43.81882905960083
0,200,Uniform,Rayleigh,0.015,0.09084820747375488
0,200,Uniform,N-KSD,0.015,32.699496269226074
0,200,Uniform,KSD,0.015,146.85561656951904
0,200,VonMises,Rayleigh,0.9733333333333334,0.11803007125854492
0,200,VonMises,N-KSD,0.975,31.186918020248413
0,200,VonMises,KSD,0.9783333333333334,149.6276981830597
