,n,data,test,rejects,time
0,50,Ex1,KSD_SE_T2_qt,0.034,17.324734449386597
0,50,Ex1,KSD_SE_T2_nys,0.058,20.013425827026367
0,50,Ex2,KSD_SE_T2_qt,0.19,17.30375909805298
0,50,Ex2,KSD_SE_T2_nys,0.156,20.023545026779175
0,50,Ex5,KSD_SE_T2_qt,0.52,13.075389385223389
0,50,Ex5,KSD_SE_T2_nys,0.398,14.804771184921265
0,100,Ex1,KSD_SE_T2_qt,0.06,22.18456745147705
0,100,Ex1,KSD_SE_T2_nys,0.04,22.05146813392639
0,100,Ex2,KSD_SE_T2_qt,0.568,22.34739089012146
0,100,Ex2,KSD_SE_T2_nys,0.48,21.270535469055176
0,100,Ex5,KSD_SE_T2_qt,0.972,15.723288297653198
0,100,Ex5,KSD_SE_T2_nys,0.966,15.965394020080566
0,200,Ex1,KSD_SE_T2_qt,0.05,47.493661642074585
0,200,Ex1,KSD_SE_T2_nys,0.062,32.80815100669861
0,200,Ex2,KSD_SE_T2_qt,1.0,66.21237468719482
0,200,Ex2,KSD_SE_T2_nys,1.0,39.80840706825256
0,200,Ex5,KSD_SE_T2_qt,1.0,48.17570948600769
0,200,Ex5,KSD_SE_T2_nys,1.0,33.31783866882324
